Date,Imsaku,Sunrise,Dreka,Ikindia,Akshami,Jacia
2025-07-10,02:47,04:59,12:44,16:47,20:22,22:24
2025-07-11,02:48,05:00,12:44,16:47,20:21,22:23
2025-07-12,02:49,05:01,12:44,16:46,20:20,22:22
2025-07-13,02:50,05:02,12:44,16:46,20:19,22:21
2025-07-14,02:51,05:03,12:44,16:45,20:18,22:20
2025-07-15,02:52,05:04,12:44,16:45,20:17,22:19
2025-07-16,02:53,05:05,12:44,16:44,20:16,22:18
2025-07-17,02:54,05:06,12:44,16:44,20:15,22:17
2025-07-18,02:55,05:07,12:44,16:43,20:14,22:16
2025-07-19,02:56,05:08,12:44,16:43,20:13,22:15
2025-07-20,02:57,05:09,12:44,16:42,20:12,22:14

